"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"Group","Salivary Gland","Digestive","noquery","neutrophil","Can't Identify","No Match","The prediction failed to identify the neutrophil cell type."
"Group","Salivary Gland","Digestive","query","neutrophil","Can't Identify","No Match","The prediction failed to identify the neutrophil cell type."
"Organ","Salivary Gland","Digestive","noquery","neutrophil","Myoepithelial Cells","No Match","Myoepithelial cells are a different lineage than neutrophils."
"Organ","Salivary Gland","Digestive","query","neutrophil","Myoepithelial Cells","No Match","Myoepithelial cells are a different lineage than neutrophils."
"All","Salivary Gland","Digestive","noquery","t cell","Can't Identify","No Match","The prediction failed to identify the T cell type."
"All","Salivary Gland","Digestive","query","t cell","Can't Identify","No Match","The prediction failed to identify the T cell type."
"Group","Salivary Gland","Digestive","noquery","t cell","Natural killer cells","Partial Match","Natural killer cells are a different but related lymphocyte lineage."
"Group","Salivary Gland","Digestive","query","t cell","Natural killer cells","Partial Match","Natural killer cells are a different but related lymphocyte lineage."
"Organ","Salivary Gland","Digestive","noquery","t cell","T cells","Match","The prediction accurately identifies the T cell type."
"Organ","Salivary Gland","Digestive","query","t cell","T cells","Match","The prediction accurately identifies the T cell type."
"All","Salivary Gland","Digestive","noquery","myoepithelial cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"All","Salivary Gland","Digestive","query","myoepithelial cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Group","Salivary Gland","Digestive","noquery","myoepithelial cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Group","Salivary Gland","Digestive","query","myoepithelial cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Organ","Salivary Gland","Digestive","noquery","myoepithelial cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Organ","Salivary Gland","Digestive","query","myoepithelial cell","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"All","Salivary Gland","Digestive","noquery","macrophage","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"All","Salivary Gland","Digestive","query","macrophage","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Group","Salivary Gland","Digestive","noquery","macrophage","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Group","Salivary Gland","Digestive","query","macrophage","Can't Identify","No Match","The prediction does not correspond to the annotated cell type."
"Organ","Salivary Gland","Digestive","noquery","macrophage","Can't Identify","No Match","The prediction fails to specify macrophages in any form."
"Organ","Salivary Gland","Digestive","query","macrophage","Can't Identify","No Match","The prediction fails to specify macrophages in any form."
"All","Salivary Gland","Digestive","noquery","salivary gland cell","Can't Identify","No Match","The prediction does not correspond to salivary gland cells."
"All","Salivary Gland","Digestive","query","salivary gland cell","Can't Identify","No Match","The prediction does not correspond to salivary gland cells."
"Group","Salivary Gland","Digestive","noquery","salivary gland cell","Can't Identify","No Match","The prediction does not correspond to salivary gland cells."
"Group","Salivary Gland","Digestive","query","salivary gland cell","Can't Identify","No Match","The prediction does not correspond to salivary gland cells."
"Organ","Salivary Gland","Digestive","noquery","salivary gland cell","Can't Identify","No Match","The prediction does not correspond to salivary gland cells."
"Organ","Salivary Gland","Digestive","query","salivary gland cell","Can't Identify","No Match","The prediction does not correspond to salivary gland cells."
"All","Salivary Gland","Digestive","noquery","ionocyte","Acinar cells","Partial Match","Acinar cells are not ionocytes but both are secretory."
"All","Salivary Gland","Digestive","query","ionocyte","Acinar cells","Partial Match","Acinar cells are not ionocytes but both are secretory."
"Group","Salivary Gland","Digestive","noquery","ionocyte","Can't Identify","No Match","The prediction fails to identify the cell type, providing no correspondence."
"Group","Salivary Gland","Digestive","query","ionocyte","Can't Identify","No Match","The prediction fails to identify the cell type, providing no correspondence."
"Organ","Salivary Gland","Digestive","noquery","ionocyte","Ductal cells","No Match","Ionocytes and ductal cells are distinct cell types with different functions."
"Organ","Salivary Gland","Digestive","query","ionocyte","Ductal cells","No Match","Ionocytes and ductal cells are distinct cell types with different functions."
"All","Tongue","Digestive","noquery","epithelial cell","Keratinocytes","Partial Match","Keratinocytes are a specific type of epithelial cell."
"All","Tongue","Digestive","query","epithelial cell","Keratinocytes","Partial Match","Keratinocytes are a specific type of epithelial cell."
"Group","Tongue","Digestive","noquery","epithelial cell","Can't Identify","No Match","The prediction fails to identify the cell type, providing no correspondence."
"Group","Tongue","Digestive","query","epithelial cell","Can't Identify","No Match","The prediction fails to identify the cell type, providing no correspondence."
"Organ","Tongue","Digestive","noquery","epithelial cell","Immune Cells","No Match","Epithelial cells and immune cells are distinct cell lineages."
"Organ","Tongue","Digestive","query","epithelial cell","Immune Cells","No Match","Epithelial cells and immune cells are distinct cell lineages."
"All","Tongue","Digestive","noquery","basal cell","Keratinocyte","Partial Match","Keratinocytes are differentiated cells from basal cells in the skin."
"All","Tongue","Digestive","query","basal cell","Keratinocyte","Partial Match","Keratinocytes are differentiated cells from basal cells in the skin."
"Group","Tongue","Digestive","noquery","basal cell","Can't Identify","No Match","The prediction failed to identify the basal cell."
"Group","Tongue","Digestive","query","basal cell","Can't Identify","No Match","The prediction failed to identify the basal cell."
"Organ","Tongue","Digestive","noquery","basal cell","Can't Identify","No Match","The prediction failed to identify the basal cell."
"Organ","Tongue","Digestive","query","basal cell","Can't Identify","No Match","The prediction failed to identify the basal cell."
"All","Tongue","Digestive","noquery","immune cell","Keratinocyte","No Match","Immune cells and keratinocytes are different cell types."
"All","Tongue","Digestive","query","immune cell","Keratinocyte","No Match","Immune cells and keratinocytes are different cell types."
"Group","Tongue","Digestive","noquery","immune cell","Can't Identify","No Match","The prediction failed to identify the immune cell."
"Group","Tongue","Digestive","query","immune cell","Can't Identify","No Match","The prediction failed to identify the immune cell."
"Organ","Tongue","Digestive","noquery","immune cell","T cell","Partial Match","T cells are a specific type of immune cell."
"Organ","Tongue","Digestive","query","immune cell","T cell","Partial Match","T cells are a specific type of immune cell."
"All","Tongue","Digestive","noquery","fibroblast","Can't Identify","No Match","The prediction could not identify fibroblasts."
"All","Tongue","Digestive","query","fibroblast","Can't Identify","No Match","The prediction could not identify fibroblasts."
"Group","Tongue","Digestive","noquery","fibroblast","Can't Identify","No Match","The prediction could not identify fibroblasts."
"Group","Tongue","Digestive","query","fibroblast","Can't Identify","No Match","The prediction could not identify fibroblasts."
"Organ","Tongue","Digestive","noquery","fibroblast","Can't Identify","No Match","The prediction could not identify fibroblasts."
"Organ","Tongue","Digestive","query","fibroblast","Can't Identify","No Match","The prediction could not identify fibroblasts."
"All","Tongue","Digestive","noquery","vein endothelial cell","Can't Identify","No Match","The prediction could not identify vein endothelial cells."
"All","Tongue","Digestive","query","vein endothelial cell","Can't Identify","No Match","The prediction could not identify vein endothelial cells."
"Group","Tongue","Digestive","noquery","vein endothelial cell","Can't Identify","No Match","'Can't Identify' suggests no attempt to identify specifics."
"Group","Tongue","Digestive","query","vein endothelial cell","Can't Identify","No Match","'Can't Identify' suggests no attempt to identify specifics."
"Organ","Tongue","Digestive","noquery","vein endothelial cell","Can't Identify","No Match","'Can't Identify' suggests no attempt to identify specifics."
"Organ","Tongue","Digestive","query","vein endothelial cell","Can't Identify","No Match","'Can't Identify' suggests no attempt to identify specifics."
"All","Tongue","Digestive","noquery","pericyte cell","Taste Receptor Cells","No Match","Pericytes and taste receptor cells are distinct cell types."
"All","Tongue","Digestive","query","pericyte cell","Taste Receptor Cells","No Match","Pericytes and taste receptor cells are distinct cell types."
"Group","Tongue","Digestive","noquery","pericyte cell","Muscle Cells","Partial Match","Pericytes are associated with muscle cell function but not identical."
"Group","Tongue","Digestive","query","pericyte cell","Muscle Cells","Partial Match","Pericytes are associated with muscle cell function but not identical."
"Organ","Tongue","Digestive","noquery","pericyte cell","Can't Identify","No Match","'Can't Identify' suggests no attempt to identify specifics."
"Organ","Tongue","Digestive","query","pericyte cell","Can't Identify","No Match","'Can't Identify' suggests no attempt to identify specifics."
"All","Tongue","Digestive","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify any cell type."
"All","Tongue","Digestive","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify any cell type."
"Group","Tongue","Digestive","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify any cell type."
"Group","Tongue","Digestive","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify any cell type."
"Organ","Tongue","Digestive","noquery","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify any cell type."
"Organ","Tongue","Digestive","query","endothelial cell of lymphatic vessel","Can't Identify","No Match","The prediction does not identify any cell type."
"All","Tongue","Digestive","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction does not identify any cell type."
"All","Tongue","Digestive","query","endothelial cell of artery","Can't Identify","No Match","The prediction does not identify any cell type."
"Group","Tongue","Digestive","noquery","endothelial cell of artery","Can't Identify","No Match","The prediction does not identify any cell type."
"Group","Tongue","Digestive","query","endothelial cell of artery","Can't Identify","No Match","The prediction does not identify any cell type."
"Organ","Tongue","Digestive","noquery","endothelial cell of artery","Can't Identify","No Match","Prediction failed to identify the arterial endothelial cells."
"Organ","Tongue","Digestive","query","endothelial cell of artery","Can't Identify","No Match","Prediction failed to identify the arterial endothelial cells."
"All","Tongue","Digestive","noquery","capillary endothelial cell","Can't Identify","No Match","Prediction failed to identify the capillary endothelial cells."
"All","Tongue","Digestive","query","capillary endothelial cell","Can't Identify","No Match","Prediction failed to identify the capillary endothelial cells."
"Group","Tongue","Digestive","noquery","capillary endothelial cell","Can't Identify","No Match","Prediction failed to identify the capillary endothelial cells."
"Group","Tongue","Digestive","query","capillary endothelial cell","Can't Identify","No Match","Prediction failed to identify the capillary endothelial cells."
"Organ","Tongue","Digestive","noquery","capillary endothelial cell","Can't Identify","No Match","Prediction failed to identify the capillary endothelial cells."
"Organ","Tongue","Digestive","query","capillary endothelial cell","Can't Identify","No Match","Prediction failed to identify the capillary endothelial cells."
"All","Tongue","Digestive","noquery","tongue muscle cell","Satellite Cells","Partial Match","Satellite cells are muscle stem cells potentially associated with muscle repair."
"All","Tongue","Digestive","query","tongue muscle cell","Satellite Cells","Partial Match","Satellite cells are muscle stem cells potentially associated with muscle repair."
"Group","Tongue","Digestive","noquery","tongue muscle cell","Myofibers","Match","""Myofibers"" refers to muscle cells, aligning with the annotation."
"Group","Tongue","Digestive","query","tongue muscle cell","Myofibers","Match","""Myofibers"" refers to muscle cells, aligning with the annotation."
"Organ","Tongue","Digestive","noquery","tongue muscle cell","Can't Identify","No Match","The prediction does not specify a cell type."
"Organ","Tongue","Digestive","query","tongue muscle cell","Can't Identify","No Match","The prediction does not specify a cell type."
"All","Tongue","Digestive","noquery","keratinocyte","Can't Identify","No Match","The prediction does not specify a cell type."
"All","Tongue","Digestive","query","keratinocyte","Can't Identify","No Match","The prediction does not specify a cell type."
"Group","Tongue","Digestive","noquery","keratinocyte","Can't Identify","No Match","The prediction does not specify a cell type."
"Group","Tongue","Digestive","query","keratinocyte","Can't Identify","No Match","The prediction does not specify a cell type."
"Organ","Tongue","Digestive","noquery","keratinocyte","Can't Identify","No Match","The prediction does not specify a cell type."
"Organ","Tongue","Digestive","query","keratinocyte","Can't Identify","No Match","The prediction does not specify a cell type."
"All","Pancreas","Digestive","noquery","pancreatic acinar cell","Acinar Cells","Match","""Acinar Cells"" and ""pancreatic acinar cell"" refer to the same cell type."
"All","Pancreas","Digestive","query","pancreatic acinar cell","Acinar Cells","Match","""Acinar Cells"" and ""pancreatic acinar cell"" refer to the same cell type."
"Group","Pancreas","Digestive","noquery","pancreatic acinar cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"Group","Pancreas","Digestive","query","pancreatic acinar cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"Organ","Pancreas","Digestive","noquery","pancreatic acinar cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"Organ","Pancreas","Digestive","query","pancreatic acinar cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"All","Pancreas","Digestive","noquery","t cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"All","Pancreas","Digestive","query","t cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"Group","Pancreas","Digestive","noquery","t cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"Group","Pancreas","Digestive","query","t cell","Can't Identify","No Match","The prediction failed to identify the annotated cell type."
"Organ","Pancreas","Digestive","noquery","t cell","T cells","Match","Different phrasing but refers to the same concept."
"Organ","Pancreas","Digestive","query","t cell","T cells","Match","Different phrasing but refers to the same concept."
"All","Pancreas","Digestive","noquery","endothelial cell","Can't Identify","No Match","Prediction does not correspond to the annotated cell type."
"All","Pancreas","Digestive","query","endothelial cell","Beta cells","No Match","Beta cells do not correspond to the endothelial cell type."
"Group","Pancreas","Digestive","noquery","endothelial cell","Can't Identify","No Match","Prediction does not correspond to the annotated cell type."
"Group","Pancreas","Digestive","query","endothelial cell","Can't Identify","No Match","Prediction does not correspond to the annotated cell type."
"Organ","Pancreas","Digestive","noquery","endothelial cell","Can't Identify","No Match","Prediction does not correspond to the annotated cell type."
"Organ","Pancreas","Digestive","query","endothelial cell","Can't Identify","No Match","Prediction does not correspond to the annotated cell type."
"All","Pancreas","Digestive","noquery","myeloid cell","Beta cell","No Match","Beta cells do not correspond to the myeloid cell type."
"All","Pancreas","Digestive","query","myeloid cell","Beta cell","No Match","Beta cells do not correspond to the myeloid cell type."
"Group","Pancreas","Digestive","noquery","myeloid cell","Can't Identify","No Match","The predicted type fails to classify the well-known myeloid cell."
"Group","Pancreas","Digestive","query","myeloid cell","Can't Identify","No Match","The predicted type fails to classify the well-known myeloid cell."
"Organ","Pancreas","Digestive","noquery","myeloid cell","Can't Identify","No Match","The predicted type fails to classify the well-known myeloid cell."
"Organ","Pancreas","Digestive","query","myeloid cell","Can't Identify","No Match","The predicted type fails to classify the well-known myeloid cell."
"All","Pancreas","Digestive","noquery","pancreatic stellate cell","Beta cells","No Match","Beta cells are endocrine cells, unlike pancreatic stellate cells."
"All","Pancreas","Digestive","query","pancreatic stellate cell","Beta cells","No Match","Beta cells are endocrine cells, unlike pancreatic stellate cells."
"Group","Pancreas","Digestive","noquery","pancreatic stellate cell","Can't Identify","No Match","The prediction does not identify the clear stromal cell type."
"Group","Pancreas","Digestive","query","pancreatic stellate cell","Can't Identify","No Match","The prediction does not identify the clear stromal cell type."
"Organ","Pancreas","Digestive","noquery","pancreatic stellate cell","Can't Identify","No Match","The prediction does not identify the clear stromal cell type."
"Organ","Pancreas","Digestive","query","pancreatic stellate cell","Can't Identify","No Match","The prediction does not identify the clear stromal cell type."
"All","Pancreas","Digestive","noquery","nk cell","Beta cell","No Match","NK cells and Beta cells are distinct cell types."
"All","Pancreas","Digestive","query","nk cell","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Group","Pancreas","Digestive","noquery","nk cell","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Group","Pancreas","Digestive","query","nk cell","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Organ","Pancreas","Digestive","noquery","nk cell","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Organ","Pancreas","Digestive","query","nk cell","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"All","Pancreas","Digestive","noquery","fibroblast","Beta cells","No Match","Fibroblasts and Beta cells are distinct cell types."
"All","Pancreas","Digestive","query","fibroblast","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Group","Pancreas","Digestive","noquery","fibroblast","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Group","Pancreas","Digestive","query","fibroblast","Can't Identify","No Match","Prediction cannot be matched as it is unidentified."
"Organ","Pancreas","Digestive","noquery","fibroblast","Can't Identify","No Match","The prediction does not identify the cell type."
"Organ","Pancreas","Digestive","query","fibroblast","Can't Identify","No Match","The prediction does not identify the cell type."
"All","Pancreas","Digestive","noquery","b cell","Beta cell","No Match","B cells are immune cells, while beta cells are in the pancreas."
"All","Pancreas","Digestive","query","b cell","Can't Identify","No Match","The prediction does not identify the cell type."
"Group","Pancreas","Digestive","noquery","b cell","Can't Identify","No Match","The prediction does not identify the cell type."
"Group","Pancreas","Digestive","query","b cell","Can't Identify","No Match","The prediction does not identify the cell type."
"Organ","Pancreas","Digestive","noquery","b cell","Can't Identify","No Match","The prediction does not identify the cell type."
"Organ","Pancreas","Digestive","query","b cell","Can't Identify","No Match","The prediction does not identify the cell type."
"All","Pancreas","Digestive","noquery","pancreatic ductal cell","Beta cells","Partial Match","Both are part of the pancreas but represent different cell types."
"All","Pancreas","Digestive","query","pancreatic ductal cell","Beta cells","Partial Match","Both are part of the pancreas but represent different cell types."
"Group","Pancreas","Digestive","noquery","pancreatic ductal cell","Can't Identify","No Match","Prediction lacks specificity related to pancreatic cells."
"Group","Pancreas","Digestive","query","pancreatic ductal cell","Can't Identify","No Match","Prediction lacks specificity related to pancreatic cells."
"Organ","Pancreas","Digestive","noquery","pancreatic ductal cell","Acinar cells","Partial Match","Both are pancreatic cells but serve different functions."
"Organ","Pancreas","Digestive","query","pancreatic ductal cell","Acinar cells","Partial Match","Both are pancreatic cells but serve different functions."
"All","Pancreas","Digestive","noquery","plasma cell","Beta cells","No Match","Beta cells are pancreatic, not related to plasma cells."
"All","Pancreas","Digestive","query","plasma cell","Beta cells","No Match","Beta cells are pancreatic, not related to plasma cells."
"Group","Pancreas","Digestive","noquery","plasma cell","Alpha cells","No Match","Alpha cells are pancreatic, not related to plasma cells."
"Group","Pancreas","Digestive","query","plasma cell","Can't Identify","No Match","Prediction lacks specificity related to plasma cells."
"Organ","Pancreas","Digestive","noquery","plasma cell","Immune cells","Partial Match","Plasma cells are a subset of immune cells."
"Organ","Pancreas","Digestive","query","plasma cell","Immune cells","Partial Match","Plasma cells are a subset of immune cells."
"All","Pancreas","Digestive","noquery","pancreatic beta cell","Beta Cell","Match","Both refer to the same beta cell type."
"All","Pancreas","Digestive","query","pancreatic beta cell","Beta Cell","Match","Both refer to the same beta cell type."
"Group","Pancreas","Digestive","noquery","pancreatic beta cell","Can't Identify","No Match","The prediction does not reasonably identify a beta cell."
"Group","Pancreas","Digestive","query","pancreatic beta cell","Can't Identify","No Match","The prediction does not reasonably identify a beta cell."
"Organ","Pancreas","Digestive","noquery","pancreatic beta cell","Can't Identify","No Match","The prediction does not reasonably identify a beta cell."
"Organ","Pancreas","Digestive","query","pancreatic beta cell","Can't Identify","No Match","The prediction does not reasonably identify a beta cell."
"All","Pancreas","Digestive","noquery","pancreatic alpha cell","Alpha cell","Match","Both refer to the same alpha cell type."
"All","Pancreas","Digestive","query","pancreatic alpha cell","Alpha cell","Match","Both refer to the same alpha cell type."
"Group","Pancreas","Digestive","noquery","pancreatic alpha cell","Can't Identify","No Match","The prediction does not reasonably identify an alpha cell."
"Group","Pancreas","Digestive","query","pancreatic alpha cell","Can't Identify","No Match","The prediction does not reasonably identify an alpha cell."
"Organ","Pancreas","Digestive","noquery","pancreatic alpha cell","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"Organ","Pancreas","Digestive","query","pancreatic alpha cell","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"All","Large Intestine","Digestive","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"All","Large Intestine","Digestive","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"Group","Large Intestine","Digestive","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"Group","Large Intestine","Digestive","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"Organ","Large Intestine","Digestive","noquery","cd4-positive, alpha-beta t cell","T cells","Partial Match","""T cells"" is a broader category that includes ""cd4-positive, alpha-beta t cells""."
"Organ","Large Intestine","Digestive","query","cd4-positive, alpha-beta t cell","T cells","Partial Match","""T cells"" is a broader category that includes ""cd4-positive, alpha-beta t cells""."
"All","Large Intestine","Digestive","noquery","enterocyte of epithelium of large intestine","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"All","Large Intestine","Digestive","query","enterocyte of epithelium of large intestine","Can't Identify","No Match","The prediction offers no information to identify the actual cell type."
"Group","Large Intestine","Digestive","noquery","enterocyte of epithelium of large intestine","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Group","Large Intestine","Digestive","query","enterocyte of epithelium of large intestine","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Organ","Large Intestine","Digestive","noquery","enterocyte of epithelium of large intestine","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Organ","Large Intestine","Digestive","query","enterocyte of epithelium of large intestine","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"All","Large Intestine","Digestive","noquery","monocyte","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"All","Large Intestine","Digestive","query","monocyte","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Group","Large Intestine","Digestive","noquery","monocyte","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Group","Large Intestine","Digestive","query","monocyte","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Organ","Large Intestine","Digestive","noquery","monocyte","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"Organ","Large Intestine","Digestive","query","monocyte","Can't Identify","No Match","Prediction failed to identify the specific cell type as annotated."
"All","Large Intestine","Digestive","noquery","plasma cell","Plasma cell","Match","Both terms refer to the same differentiated form of B cells."
"All","Large Intestine","Digestive","query","plasma cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Group","Large Intestine","Digestive","noquery","plasma cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Group","Large Intestine","Digestive","query","plasma cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Organ","Large Intestine","Digestive","noquery","plasma cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Organ","Large Intestine","Digestive","query","plasma cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"All","Large Intestine","Digestive","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"All","Large Intestine","Digestive","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Group","Large Intestine","Digestive","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Group","Large Intestine","Digestive","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to specify any cell type."
"Organ","Large Intestine","Digestive","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","'Can't Identify' indicates a failure to match any cell type."
"Organ","Large Intestine","Digestive","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","'Can't Identify' indicates a failure to match any cell type."
"All","Large Intestine","Digestive","noquery","fibroblast","Can't Identify","No Match","'Can't Identify' indicates a failure to match any cell type."
"All","Large Intestine","Digestive","query","fibroblast","Can't Identify","No Match","'Can't Identify' indicates a failure to match any cell type."
"Group","Large Intestine","Digestive","noquery","fibroblast","Can't Identify","No Match","'Can't Identify' indicates a failure to match any cell type."
"Group","Large Intestine","Digestive","query","fibroblast","Can't Identify","No Match","'Can't Identify' indicates a failure to match any cell type."
"Organ","Large Intestine","Digestive","noquery","fibroblast","Enterocytes","No Match","Enterocytes are distinct from fibroblasts as they are epithelial cells."
"Organ","Large Intestine","Digestive","query","fibroblast","Enterocytes","No Match","Enterocytes are distinct from fibroblasts as they are epithelial cells."
"All","Large Intestine","Digestive","noquery","large intestine goblet cell","Goblet Cell","Match","'Goblet Cell' is a synonymous and accurate description of the cell type."
"All","Large Intestine","Digestive","query","large intestine goblet cell","Goblet Cell","Match","'Goblet Cell' is a synonymous and accurate description of the cell type."
"Group","Large Intestine","Digestive","noquery","large intestine goblet cell","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Group","Large Intestine","Digestive","query","large intestine goblet cell","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Organ","Large Intestine","Digestive","noquery","large intestine goblet cell","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Organ","Large Intestine","Digestive","query","large intestine goblet cell","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"All","Large Intestine","Digestive","noquery","paneth cell of epithelium of large intestine","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"All","Large Intestine","Digestive","query","paneth cell of epithelium of large intestine","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Group","Large Intestine","Digestive","noquery","paneth cell of epithelium of large intestine","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Group","Large Intestine","Digestive","query","paneth cell of epithelium of large intestine","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Organ","Large Intestine","Digestive","noquery","paneth cell of epithelium of large intestine","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"Organ","Large Intestine","Digestive","query","paneth cell of epithelium of large intestine","Can't Identify","No Match","The prediction lacks enough specificity to assess a match."
"All","Large Intestine","Digestive","noquery","b cell","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify B cells."
"All","Large Intestine","Digestive","query","b cell","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify B cells."
"Group","Large Intestine","Digestive","noquery","b cell","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify B cells."
"Group","Large Intestine","Digestive","query","b cell","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify B cells."
"Organ","Large Intestine","Digestive","noquery","b cell","B Cell","Match","The predicted and annotated cell types refer to the same concept."
"Organ","Large Intestine","Digestive","query","b cell","B Cell","Match","The predicted and annotated cell types refer to the same concept."
"All","Large Intestine","Digestive","noquery","transit amplifying cell of large intestine","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify the cell."
"All","Large Intestine","Digestive","query","transit amplifying cell of large intestine","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify the cell."
"Group","Large Intestine","Digestive","noquery","transit amplifying cell of large intestine","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify the cell."
"Group","Large Intestine","Digestive","query","transit amplifying cell of large intestine","Can't Identify","No Match","The predicted cell type lacks specificity and does not identify the cell."
"Organ","Large Intestine","Digestive","noquery","transit amplifying cell of large intestine","Can't Identify","No Match","Predicted type does not correspond to any recognized cell type."
"Organ","Large Intestine","Digestive","query","transit amplifying cell of large intestine","Can't Identify","No Match","Predicted type does not correspond to any recognized cell type."
"All","Large Intestine","Digestive","noquery","mast cell","Mast cells","Match","Both refer to the same cell type."
"All","Large Intestine","Digestive","query","mast cell","Mast cells","Match","Both refer to the same cell type."
"Group","Large Intestine","Digestive","noquery","mast cell","Can't Identify","No Match","Predicted type does not correspond to any recognized cell type."
"Group","Large Intestine","Digestive","query","mast cell","Can't Identify","No Match","Predicted type does not correspond to any recognized cell type."
"Organ","Large Intestine","Digestive","noquery","mast cell","Eosinophils","No Match","Eosinophils and mast cells are distinct immune cell types."
"Organ","Large Intestine","Digestive","query","mast cell","Eosinophils","No Match","Eosinophils and mast cells are distinct immune cell types."
"All","Large Intestine","Digestive","noquery","gut endothelial cell","Can't Identify","No Match","Predicted type does not correspond to any recognized cell type."
"All","Large Intestine","Digestive","query","gut endothelial cell","Can't Identify","No Match","Predicted type does not correspond to any recognized cell type."
"Group","Large Intestine","Digestive","noquery","gut endothelial cell","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"Group","Large Intestine","Digestive","query","gut endothelial cell","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"Organ","Large Intestine","Digestive","noquery","gut endothelial cell","Endothelial Cell","Partial Match","Predicted cell type is a generalization of the specific annotated cell type."
